unique_id,survey_title,image_name,date (UTC),year,site,depth_m,transect,total,project,survey_id,site_id,Acanthastrea,Acropora,Acropora Bleached,Actinaria (Anemones),Alveopora,"Ascidiacea (Ascidians, Tunicates)",Asteroidea (Sea stars),Astreopora,Branching Sponge,Brown Macroalgae,Bryozoa (Bryozoans),Coelastrea,Corallimorpharia (Corallimorphs),Coscinaraea,Crinoidae (Feather Stars),Crown-of-Thorns,Crustose Coralline Algae,Cyanobacterial Mats,Cyphastrea,Dendronephthya,Diadema,Diploastrea,Dipsastraea,Echinoidea (Sea Urchins),Echinophyllia,Echinopora,Encrusting Red Macroalgae,Encrusting Sponge,Erect Coralline Algae,Euphyllia,Favites,Fimbriaphyllia,Galaxea,Goniastrea,Goniopora,Green Macroalgae,Heliopora (Blue coral),Holothuroidea (Sea Cucumbers),Hydnophora,Hydrozoa (Hydroids),Isopora,Leptastrea,Leptoria,Lithophyllon,Lithophyton,Lobophyllia,Lobophytum,Macroalgae,Massive Sponge,Merulina,Millepora (Fire coral),Mobile Invertebrates,Montipora,Mycedium,Nudibranch,Other Acroporidae,Other Agariciidae,Other Coscinaraeidae,Other Dendrophylliidae,Other Euphylliidae,Other Fungiidae,Other Hard Coral,Other Hard Coral Bleached,Other Lobophylliidae,Other Merulinidae,Other Microbial Mats,Other Nephtheidae,Other Plerogyridae,Other Pocilloporidae,Other Poritidae,Other Rhizangiidae,Other Sarcophytidae (Alcyoniidae),Other Xeniidae,Others - Abiotic,Oulastrea,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pocillopora,Pocillopora Bleached,Podabacia,Porites,Porites Bleached,Psammocora,Pseudosiderastrea,Red Macroalgae,Reef Matrix with Turf,Sand,Sarcophyton,Sclerophytum,Seriatopora,Sessile Invertebrates,Silt,Soft Coral,Soft Coral Bleached,Sponge,Stylophora,Trachyphyllia,Tubastraea,Turbinaria,Turf Algae,Turf with Sediment,Unconsolidated Rubble with Turf,Unknown/Unidentifiable,Xenia,Zoantharia (Zoanthids)
4673467,2023_AB1_T1,IMG_5990.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
4673469,2023_AB1_T1,IMG_5993.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0
4673470,2023_AB1_T1,IMG_5991.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
4673471,2023_AB1_T1,IMG_5994.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
4673472,2023_AB1_T1,IMG_5992.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,0.0,0.0,0.0
4673473,2023_AB1_T1,IMG_5998.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0
4673474,2023_AB1_T1,IMG_5997.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.0,0.0,0.0
4673475,2023_AB1_T1,IMG_5996.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
4673476,2023_AB1_T1,IMG_5995.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
4673477,2023_AB1_T1,IMG_5999.JPG,2023-12-02T02:00:00+0000,2023,Abana 1,8.0,1,50,Brunei_Long_Term_Monitoring_Tier3,66931,45390,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,12.0,0.0,0.0
